Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum
2022,Albania,ALB,Denmark,DNK,0,5
2022,Albania,ALB,Ecuador,ECU,6,0
2022,Albania,ALB,Finland,FIN,6,24
2022,Albania,ALB,France,FRA,10844,2527
2022,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,4697,24747
2022,Albania,ALB,Germany,DEU,1267,1741
2022,Albania,ALB,Greece,GRC,190,646
2022,Albania,ALB,Iceland,ISL,5,0
2022,Albania,ALB,Ireland,IRL,221,386
2022,Albania,ALB,Israel,ISR,0,25
2022,Albania,ALB,Italy,ITA,891,531
2022,Albania,ALB,Luxembourg,LUX,47,25
2022,Albania,ALB,Mexico,MEX,8,0
2022,Albania,ALB,Malta,MLT,0,5
2022,Albania,ALB,Netherlands (Kingdom of the),NLD,8,8
2022,Albania,ALB,Norway,NOR,18,0
2022,Albania,ALB,Spain,ESP,13,100
2022,Albania,ALB,Sweden,SWE,229,134
2022,Albania,ALB,Switzerland,CHE,116,68
2022,Albania,ALB,United States of America,USA,1433,2670
2022,Algeria,DZA,Argentina,ARG,31,21
2022,Algeria,DZA,Australia,AUS,8,23
2022,Algeria,DZA,Austria,AUT,27,211
2022,Algeria,DZA,Belgium,BEL,109,255
2022,Algeria,DZA,Brazil,BRA,9,31
2022,Algeria,DZA,Bulgaria,BGR,0,54
2022,Algeria,DZA,Canada,CAN,784,606
2022,Algeria,DZA,Cyprus,CYP,8,5
2022,Algeria,DZA,Czechia,CZE,0,19
2022,Algeria,DZA,Denmark,DNK,0,15
2022,Algeria,DZA,Finland,FIN,9,14
2022,Algeria,DZA,France,FRA,3267,475
2022,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,305,786
2022,Algeria,DZA,Germany,DEU,937,1125
2022,Algeria,DZA,Greece,GRC,150,49
2022,Algeria,DZA,Croatia,HRV,0,6
2022,Algeria,DZA,Hungary,HUN,14,0
2022,Algeria,DZA,Ireland,IRL,74,1925
2022,Algeria,DZA,Italy,ITA,38,141
2022,Algeria,DZA,Jordan,JOR,0,5
2022,Algeria,DZA,Rep. of Korea,KOR,8,101
2022,Algeria,DZA,Lebanon,LBN,0,6
2022,Algeria,DZA,Luxembourg,LUX,30,20
2022,Algeria,DZA,Rep. of Moldova,MDA,5,0
2022,Algeria,DZA,Mexico,MEX,5,9
2022,Algeria,DZA,Malaysia,MYS,0,16
2022,Algeria,DZA,Montenegro,MNE,0,8
2022,Algeria,DZA,Morocco,MAR,9,21
2022,Algeria,DZA,Malta,MLT,0,30
2022,Algeria,DZA,Netherlands (Kingdom of the),NLD,422,907
2022,Algeria,DZA,Norway,NOR,9,5
2022,Algeria,DZA,Pakistan,PAK,22,0
2022,Algeria,DZA,Poland,POL,30,5
2022,Algeria,DZA,Portugal,PRT,779,18
2022,Algeria,DZA,Romania,ROU,5,5
2022,Algeria,DZA,South Africa,ZAF,5,31
2022,Algeria,DZA,Spain,ESP,188,1015
2022,Algeria,DZA,Slovenia,SVN,0,14
2022,Algeria,DZA,Sweden,SWE,61,56
2022,Algeria,DZA,Switzerland,CHE,205,292
2022,Algeria,DZA,Syrian Arab Rep.,SYR,5,0
2022,Algeria,DZA,Tunisia,TUN,14,18
2022,Algeria,DZA,Ukraine,UKR,0,5
2022,Algeria,DZA,United States of America,USA,131,575
2022,Andorra,AND,Brazil,BRA,0,5
2022,Andorra,AND,Sudan,SDN,5,0
2022,Angola,AGO,Argentina,ARG,14,15
2022,Angola,AGO,Australia,AUS,0,5
2022,Angola,AGO,Austria,AUT,36,7
2022,Angola,AGO,Belgium,BEL,80,190
2022,Angola,AGO,Brazil,BRA,1189,7973
2022,Angola,AGO,Canada,CAN,558,1211
2022,Angola,AGO,Central African Rep.,CAF,13,0
2022,Angola,AGO,Chile,CHL,0,5
2022,Angola,AGO,Cameroon,CMR,5,0
2022,Angola,AGO,Congo,COG,15,45
2022,Angola,AGO,Dem. Rep. of the Congo,COD,365,23
2022,Angola,AGO,Costa Rica,CRI,0,64
2022,Angola,AGO,Cyprus,CYP,0,23
2022,Angola,AGO,Denmark,DNK,0,5
2022,Angola,AGO,Ecuador,ECU,5,0
2022,Angola,AGO,Finland,FIN,45,12
2022,Angola,AGO,France,FRA,7001,438
2022,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,141,147
2022,Angola,AGO,Germany,DEU,798,367
2022,Angola,AGO,Greece,GRC,21,43
2022,Angola,AGO,Hungary,HUN,5,0
2022,Angola,AGO,Indonesia,IDN,7,0
2022,Angola,AGO,Ireland,IRL,47,39
2022,Angola,AGO,Italy,ITA,5,13
2022,Angola,AGO,Rep. of Korea,KOR,0,7
2022,Angola,AGO,Luxembourg,LUX,9,10
2022,Angola,AGO,Mexico,MEX,13,1353
2022,Angola,AGO,Morocco,MAR,0,5
2022,Angola,AGO,Mozambique,MOZ,5,0
2022,Angola,AGO,Namibia,NAM,5,0
2022,Angola,AGO,Netherlands (Kingdom of the),NLD,28,15
2022,Angola,AGO,Norway,NOR,5,0
2022,Angola,AGO,Peru,PER,0,11
2022,Angola,AGO,Poland,POL,6,0
2022,Angola,AGO,Portugal,PRT,137,31
2022,Angola,AGO,Romania,ROU,9,0
2022,Angola,AGO,South Africa,ZAF,22,5
2022,Angola,AGO,Rwanda,RWA,9,0
2022,Angola,AGO,Spain,ESP,38,30
2022,Angola,AGO,Slovakia,SVK,24,0
2022,Angola,AGO,Eswatini,SWZ,12,0
2022,Angola,AGO,Sweden,SWE,21,8
2022,Angola,AGO,Switzerland,CHE,653,49
2022,Angola,AGO,Ukraine,UKR,26,0
2022,Angola,AGO,Uruguay,URY,14,0
2022,Angola,AGO,United States of America,USA,365,4368
2022,Angola,AGO,Zimbabwe,ZWE,0,6
2022,Antigua and Barbuda,ATG,Canada,CAN,37,25
2022,Antigua and Barbuda,ATG,United Kingdom of Great Britain and Northern Ireland,GBR,10,13
2022,Antigua and Barbuda,ATG,Trinidad and Tobago,TTO,5,0
2022,Antigua and Barbuda,ATG,United States of America,USA,6,20
2022,Egypt,EGY,Albania,ALB,8,0
2022,Egypt,EGY,Algeria,DZA,0,5
2022,Egypt,EGY,Argentina,ARG,5,22
2022,Egypt,EGY,Armenia,ARM,5,24
2022,Egypt,EGY,Australia,AUS,1093,245
2022,Egypt,EGY,Austria,AUT,221,379
2022,Egypt,EGY,Bahrain,BHR,0,5
2022,Egypt,EGY,Belgium,BEL,95,150
2022,Egypt,EGY,Brazil,BRA,73,434
2022,Egypt,EGY,Bulgaria,BGR,17,27
2022,Egypt,EGY,Canada,CAN,854,429
2022,Egypt,EGY,Costa Rica,CRI,5,0
2022,Egypt,EGY,Cyprus,CYP,125,321
2022,Egypt,EGY,Czechia,CZE,7,10
2022,Egypt,EGY,Denmark,DNK,24,7
2022,Egypt,EGY,Ecuador,ECU,12,7
2022,Egypt,EGY,Estonia,EST,5,0
2022,Egypt,EGY,Ethiopia,ETH,5,0
2022,Egypt,EGY,Finland,FIN,45,22
2022,Egypt,EGY,France,FRA,1769,568
2022,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,1062,2054
2022,Egypt,EGY,Georgia,GEO,68,39
2022,Egypt,EGY,Germany,DEU,1840,1167
2022,Egypt,EGY,Ghana,GHA,0,16
2022,Egypt,EGY,Greece,GRC,459,1649
2022,Egypt,EGY,"China, Hong Kong SAR",HKG,13,0
2022,Egypt,EGY,Croatia,HRV,8,0
2022,Egypt,EGY,Hungary,HUN,12,5
2022,Egypt,EGY,Iceland,ISL,11,5
2022,Egypt,EGY,Cote d'Ivoire,CIV,5,5
2022,Egypt,EGY,India,IND,0,6
2022,Egypt,EGY,Indonesia,IDN,12,20
2022,Egypt,EGY,Ireland,IRL,54,359
2022,Egypt,EGY,Iraq,IRQ,0,41
2022,Egypt,EGY,Italy,ITA,776,7425
2022,Egypt,EGY,Jordan,JOR,125,419
2022,Egypt,EGY,Kenya,KEN,5,18
2022,Egypt,EGY,Rep. of Korea,KOR,129,696
2022,Egypt,EGY,Kuwait,KWT,5,16
2022,Egypt,EGY,Lebanon,LBN,145,489
2022,Egypt,EGY,Lithuania,LTU,7,5
2022,Egypt,EGY,Luxembourg,LUX,8,5
2022,Egypt,EGY,Latvia,LVA,9,0
2022,Egypt,EGY,Rep. of Moldova,MDA,8,5
2022,Egypt,EGY,Mexico,MEX,5,18
2022,Egypt,EGY,Malaysia,MYS,16,80
2022,Egypt,EGY,Morocco,MAR,5,13
2022,Egypt,EGY,Malta,MLT,74,84
2022,Egypt,EGY,Netherlands (Kingdom of the),NLD,581,278
2022,Egypt,EGY,Nigeria,NGA,0,9
2022,Egypt,EGY,Norway,NOR,47,0
2022,Egypt,EGY,New Zealand,NZL,16,0
2022,Egypt,EGY,Philippines,PHL,0,9
2022,Egypt,EGY,Poland,POL,101,138
2022,Egypt,EGY,Portugal,PRT,125,5
2022,Egypt,EGY,Qatar,QAT,13,10
2022,Egypt,EGY,Romania,ROU,24,11
2022,Egypt,EGY,South Africa,ZAF,5,56
2022,Egypt,EGY,Russian Federation,RUS,5,5
2022,Egypt,EGY,Somalia,SOM,0,5
2022,Egypt,EGY,Spain,ESP,121,200
2022,Egypt,EGY,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,5
2022,Egypt,EGY,Sudan,SDN,18,11
2022,Egypt,EGY,Slovakia,SVK,17,0
2022,Egypt,EGY,Sweden,SWE,408,128
2022,Egypt,EGY,Switzerland,CHE,155,19
2022,Egypt,EGY,Syrian Arab Rep.,SYR,31,13
2022,Egypt,EGY,Thailand,THA,18,0
2022,Egypt,EGY,Tunisia,TUN,0,12
2022,Egypt,EGY,United Arab Emirates,ARE,5,6
2022,Egypt,EGY,Uganda,UGA,8,0
2022,Egypt,EGY,Ukraine,UKR,0,7
2022,Egypt,EGY,Uruguay,URY,0,7
2022,Egypt,EGY,United States of America,USA,13383,9598
2022,Egypt,EGY,Yemen,YEM,17,8
2022,Argentina,ARG,Australia,AUS,0,22
2022,Argentina,ARG,Bolivia (Plurinational State of),BOL,13,0
2022,Argentina,ARG,Brazil,BRA,6,164
2022,Argentina,ARG,Canada,CAN,17,77
2022,Argentina,ARG,Costa Rica,CRI,0,77
2022,Argentina,ARG,Ecuador,ECU,5,0
2022,Argentina,ARG,France,FRA,18,5
2022,Argentina,ARG,United Kingdom of Great Britain and Northern Ireland,GBR,0,33
2022,Argentina,ARG,Germany,DEU,18,16
2022,Argentina,ARG,Italy,ITA,13,62
2022,Argentina,ARG,Mexico,MEX,5,234
2022,Argentina,ARG,Netherlands (Kingdom of the),NLD,10,5
2022,Argentina,ARG,Paraguay,PRY,0,17
2022,Argentina,ARG,Peru,PER,0,15
2022,Argentina,ARG,Spain,ESP,55,770
2022,Argentina,ARG,Sweden,SWE,0,12
2022,Argentina,ARG,Uruguay,URY,0,11
2022,Argentina,ARG,United States of America,USA,18,751
2022,Armenia,ARM,Argentina,ARG,77,169
2022,Armenia,ARM,Austria,AUT,295,100
2022,Armenia,ARM,Belgium,BEL,300,535
2022,Armenia,ARM,Belarus,BLR,5,0
2022,Armenia,ARM,Brazil,BRA,5,6
2022,Armenia,ARM,Bulgaria,BGR,61,7
2022,Armenia,ARM,Canada,CAN,8,31
2022,Armenia,ARM,Cyprus,CYP,26,19
2022,Armenia,ARM,Czechia,CZE,19,0
2022,Armenia,ARM,Denmark,DNK,82,24
2022,Armenia,ARM,Estonia,EST,0,5
2022,Armenia,ARM,Finland,FIN,0,5
2022,Armenia,ARM,France,FRA,6380,1212
2022,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR,52,19
2022,Armenia,ARM,Germany,DEU,4272,2010
2022,Armenia,ARM,Greece,GRC,13,35
2022,Armenia,ARM,Croatia,HRV,5,0
2022,Armenia,ARM,Hungary,HUN,46,0
2022,Armenia,ARM,Ireland,IRL,11,0
2022,Armenia,ARM,Israel,ISR,0,27
2022,Armenia,ARM,Italy,ITA,224,108
2022,Armenia,ARM,Lebanon,LBN,0,17
2022,Armenia,ARM,Lithuania,LTU,7,0
2022,Armenia,ARM,Luxembourg,LUX,10,0
2022,Armenia,ARM,Latvia,LVA,11,0
2022,Armenia,ARM,Rep. of Moldova,MDA,140,12
2022,Armenia,ARM,Montenegro,MNE,0,5
2022,Armenia,ARM,Malta,MLT,0,5
2022,Armenia,ARM,Netherlands (Kingdom of the),NLD,234,37
2022,Armenia,ARM,Norway,NOR,15,0
2022,Armenia,ARM,Panama,PAN,0,5
2022,Armenia,ARM,Poland,POL,186,15
2022,Armenia,ARM,Portugal,PRT,17,0
2022,Armenia,ARM,Romania,ROU,36,0
2022,Armenia,ARM,Russian Federation,RUS,30,5
2022,Armenia,ARM,Spain,ESP,159,315
2022,Armenia,ARM,Serbia and Kosovo: S/RES/1244 (1999),SRB,5,5
2022,Armenia,ARM,Slovakia,SVK,54,0
